,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
48,24.34094485,-2.006801462,0.353508341,-0.00731983,0.111487213,0.013602176,0.01904439,-0.499168135,0.001408422,-0.502324846,-0.162014042,0.189054082,-0.075056021,-0.046730882,0.0391805
49,25.8112301,-2.035126753,0.33107319,0.006647028,0.128905641,0.009261007,0.030054035,-0.499968465,0.00830641,-0.481290923,-0.20005654,0.188624033,-0.086493248,-0.03530411,0.010591403
50,-22.3141088,-1.580129418,0.327205177,-0.017078098,0.074409604,0.011928958,-0.000785894,-0.586652709,0.050160152,-0.525191259,-0.215106655,0.249748978,-0.070052389,-0.021322478,0.032715933
51,-22.05869822,-1.59824891,0.309590157,-0.033656281,0.088750663,0.020561568,0.036514776,-0.551854324,0.029908232,-0.511019711,-0.216967216,0.242548376,-0.048731572,-0.042345994,0.025544293
52,-21.83553742,-1.61399233,0.325120884,-0.03168966,0.086548042,0.004175079,0.011316662,-0.528205058,0.035437969,-0.509787661,-0.192544334,0.233434872,-0.075810443,-0.041216078,0.00926513
53,-21.57884654,-1.629013185,0.347218551,-0.009171248,0.086068249,0.033593248,0.04028763,-0.556396953,0.032773939,-0.526787571,-0.213562948,0.222086572,-0.037089611,-0.055949019,0.024457695
54,-21.30670744,-1.588757903,0.33866077,-0.009274682,0.086673137,0.008933536,0.034788929,-0.554995038,0.027099847,-0.506077631,-0.227561213,0.212617622,-0.078481054,-0.0539028,0.033827363
55,-21.03394313,-1.60078866,0.332585916,-0.036308171,0.093660669,0.01446836,0.015042391,-0.550563589,0.015922444,-0.514122341,-0.170658579,0.201397401,-0.076389457,-0.025807694,0.033033017
56,-20.74340472,-1.607621801,0.323900803,-0.01006549,0.0565448,0.050924207,0.006003027,-0.551630278,0.049206412,-0.512859951,-0.191100479,0.226099434,-0.056453943,-0.053315978,0.0297063
57,-20.50576886,-1.587954076,0.350922451,-0.039279504,0.101502725,0.012411822,0.030549491,-0.539572885,0.012281911,-0.512502036,-0.185406548,0.198442086,-0.069105618,-0.047130668,0.021400753
58,-20.20752072,-1.638060257,0.333278206,0.004596203,0.069074929,0.013223551,0.014913811,-0.548945197,0.023045017,-0.509750582,-0.202269908,0.192113432,-0.050100959,-0.043293897,0.021743206
59,-19.90553705,-1.618738005,0.310544411,-0.022920105,0.101624063,0.000235884,0.018830648,-0.548189656,0.061338784,-0.489304931,-0.206097992,0.202193484,-0.059001686,-0.044240017,0.009314794
60,-19.66005466,-1.606701351,0.321522356,-0.043764227,0.096376891,-0.002551797,0.024435701,-0.544641997,0.013614981,-0.48596409,-0.189632779,0.204200631,-0.08298534,-0.050572732,0.012158981
61,-19.37216367,-1.625481052,0.292730729,-0.025685734,0.075885519,0.022398658,0.039633476,-0.53742924,-0.00440477,-0.520034257,-0.197951262,0.185799087,-0.033808908,-0.055902691,0.017957578
62,-19.02023926,-1.626361076,0.321513966,-0.005773069,0.080228342,0.017336627,0.054537895,-0.524530903,0.035846185,-0.478616709,-0.198599011,0.212346916,-0.089679777,-0.05416796,0.000833883
63,-18.71953399,-1.622753991,0.352634087,-0.039749049,0.093704658,0.020518192,0.030215544,-0.526407595,0.023313813,-0.516815054,-0.201851583,0.190661273,-0.086570048,-0.043587511,-0.007148268
64,-18.41676901,-1.619547634,0.328467321,-0.005734955,0.083197651,0.022844582,0.024573257,-0.562509953,0.042790871,-0.487883214,-0.192106891,0.217364243,-0.083450463,-0.046638088,0.032873562
65,-18.11676423,-1.633386848,0.347688609,-0.018967068,0.06101434,0.012018882,-0.005693057,-0.531575637,0.030754967,-0.493864755,-0.20662325,0.198875513,-0.053078279,-0.035027432,0.038679067
66,-17.78656493,-1.607855642,0.292111583,-0.013539763,0.111066435,0.048412681,0.018045838,-0.532907218,0.075580666,-0.509325576,-0.183919274,0.190216022,-0.046772714,-0.047161564,0.029934209
67,-17.47723179,-1.633197089,0.316329483,-0.029037278,0.096852481,0.031036667,0.043584272,-0.520640922,0.04300543,-0.500556434,-0.186839467,0.151750377,-0.081043565,-0.071170407,0.005407948
68,-17.15544869,-1.647368917,0.308176983,-0.012517844,0.10613001,0.002574147,0.035766679,-0.530970165,0.073471482,-0.514135475,-0.175363779,0.162826661,-0.093265034,-0.070471959,0.012855159
69,-16.77623657,-1.608568734,0.330406358,-0.003391234,0.079560924,0.008277299,0.056867883,-0.527363634,0.039019537,-0.487031003,-0.177907299,0.191061566,-0.071845086,-0.039787744,0.018947915
70,-16.462726,-1.621531005,0.311162375,-0.032131902,0.084821777,0.002216489,0.039992808,-0.520001849,0.034377588,-0.484112371,-0.171460721,0.18228357,-0.054763006,-0.066538495,0.033471186
71,-16.10659493,-1.627473285,0.313854717,-0.026672008,0.088907981,0.015137233,0.026362078,-0.511152044,0.051922191,-0.475695042,-0.179858584,0.195882145,-0.072503248,-0.038000753,0.025997275
72,-15.7489567,-1.662059401,0.296580725,-0.021325846,0.104861474,0.027223995,-0.013196955,-0.538612978,0.015633739,-0.508691649,-0.180431675,0.166429867,-0.062570179,-0.067403208,0.045003611
73,-15.42378257,-1.636612474,0.329036418,-0.047351463,0.072871566,0.010155782,0.032552446,-0.539572629,0.040409381,-0.483083956,-0.179967392,0.179351548,-0.050659097,-0.062342261,0.023526473
74,-15.05804337,-1.621807595,0.337629176,-0.006515158,0.099072419,0.009552406,-0.004058783,-0.495605749,0.053209399,-0.487836255,-0.196773988,0.165925705,-0.077412161,-0.050023467,0.028989234
75,-14.70954538,-1.650108634,0.317465653,-0.026909046,0.092694813,0.01010903,0.013667064,-0.51462017,0.011956682,-0.475721833,-0.16262067,0.162073101,-0.070017551,-0.048580973,0.030972833
76,-14.33469352,-1.616396735,0.289552939,-0.017962595,0.087253546,0.009156903,0.065133886,-0.543372676,0.060960456,-0.470028927,-0.166650673,0.165378362,-0.076519638,-0.031057527,0.019059409
77,-13.95482838,-1.625764368,0.324150136,-0.007655173,0.081777201,0.052764714,0.017714677,-0.523771736,0.036761003,-0.471289278,-0.144320849,0.17092816,-0.108778231,-0.045748168,0.019709879
78,-13.61582736,-1.649804896,0.325199971,0.01138456,0.073218294,0.026941882,0.053246331,-0.513076715,0.043545202,-0.466020967,-0.180756945,0.164879566,-0.083776532,-0.0421132,0.021293258
79,-13.18858397,-1.671978968,0.321866081,-0.028116408,0.083285112,0.007163622,0.042733455,-0.51451784,0.042197246,-0.500733125,-0.16132031,0.176241874,-0.070270256,-0.062454934,0.025559509
80,-12.79860622,-1.634911255,0.338499586,-0.012920236,0.066087192,0.034255882,0.022354355,-0.497521388,0.062062069,-0.483375226,-0.180156851,0.14786307,-0.082140473,-0.06298793,0.012281898
81,-12.39813417,-1.636621514,0.286962982,-0.028041672,0.089015098,0.023787463,0.038699169,-0.533774135,-0.017630098,-0.458196195,-0.174355747,0.141526434,-0.095415764,-0.029302479,0.028075785
82,-11.97467602,-1.608543562,0.311782303,-0.009431388,0.096360548,0.043688496,-0.008921626,-0.520913548,0.026040839,-0.454471029,-0.167132889,0.169054811,-0.063302405,-0.085870528,0.012610753
83,-11.61071135,-1.678783229,0.312463025,-0.018502584,0.081335179,0.026337578,0.011518371,-0.479416837,0.023851845,-0.514458936,-0.131149222,0.13106428,-0.087474851,-0.054649353,0.002691655
84,-11.19558185,-1.693438581,0.309088366,-0.028231969,0.112046629,0.016019924,0.015420656,-0.529390925,0.04629828,-0.47059462,-0.175893051,0.157114888,-0.077460856,-0.063069076,-0.004988168
85,-10.8088226,-1.640940115,0.27838471,-0.011888331,0.073227194,0.012037346,0.004426092,-0.478888677,0.048263272,-0.504578799,-0.158203451,0.155962909,-0.105531578,-0.064974928,-0.010870237
86,-10.34223494,-1.624379315,0.302554546,-0.022411364,0.072393693,0.001875071,0.048175613,-0.538141258,0.016253379,-0.469074388,-0.16708427,0.168341015,-0.071705506,-0.057117089,0.019935709
87,-9.954556444,-1.624953652,0.360392866,0.005749413,0.093789345,0.030781124,-0.009877325,-0.520645149,0.059157038,-0.419289228,-0.165461154,0.146623782,-0.082191631,-0.03106538,-0.006936676
88,-9.516295797,-1.705839334,0.323147994,-0.027787923,0.088746574,-0.003535092,0.024468991,-0.53385769,0.077057782,-0.472385882,-0.180495855,0.172889794,-0.087568047,-0.005661425,0.011496976
89,-9.093218007,-1.659010753,0.324789825,0.011556448,0.084763739,0.024667124,0.019698868,-0.497191051,0.018700536,-0.460298776,-0.142782181,0.141298337,-0.111044107,-0.050271523,0.001960991
90,-8.63641142,-1.673486876,0.355120942,-0.010591269,0.079530426,-0.003692105,0.034567649,-0.510148155,0.000310396,-0.450168622,-0.139019978,0.170843441,-0.065620149,-0.054499563,0.034468932
91,-8.209877206,-1.699929957,0.376907174,-0.037195777,0.094533488,-0.004401565,0.000476863,-0.524790061,0.044422203,-0.488099512,-0.164011462,0.179065127,-0.076732102,-0.045055727,0.035003164
92,-7.756108863,-1.731211717,0.332108408,-0.023675008,0.077152388,-0.00510604,0.029372042,-0.514529094,0.056489727,-0.469241839,-0.156661168,0.179057372,-0.078571281,-0.067073715,-0.010043985
93,-7.295963439,-1.685312183,0.350185557,-0.019326971,0.067410835,-0.003910234,0.032013501,-0.497876901,0.036665312,-0.468761598,-0.158683543,0.151054624,-0.119340349,-0.047763855,0.042025296
94,-6.866454255,-1.699921483,0.31175963,-0.025029181,0.105573578,-0.003956156,0.013808952,-0.515959001,0.040845814,-0.46464427,-0.176029782,0.138814613,-0.099976415,-0.013428276,0.022231029
95,-6.399127193,-1.720744094,0.327208382,-0.007079732,0.072702569,-0.010600736,0.05241195,-0.514287395,0.060129495,-0.471759396,-0.154440671,0.155425307,-0.0793644,-0.03038655,0.010502331
96,-5.895946413,-1.719547859,0.353505267,-0.018548432,0.076211929,0.013924047,0.043203413,-0.53187872,0.034160789,-0.457001536,-0.192799161,0.141795688,-0.059063711,-0.030251981,0.0358901
97,-5.466305189,-1.729794681,0.299784999,-0.032539693,0.07840513,0.030564482,0.015276435,-0.508860982,0.069436994,-0.449986866,-0.118816036,0.154592324,-0.108139415,-0.034317629,0.023533029
98,-4.987633799,-1.709921536,0.273721811,-0.023460903,0.114695391,0.019696653,0.032430137,-0.500087865,0.011289101,-0.451033381,-0.134255309,0.138054266,-0.040118974,-0.070805092,0.022704387
99,-4.504113462,-1.710095989,0.301907441,-0.006472166,0.099135492,0.009234906,-0.005066126,-0.49111254,0.074443717,-0.46388942,-0.132457388,0.147671725,-0.062439844,-0.041573131,0.032354957
100,-4.001733332,-1.728228818,0.32773318,-0.014649275,0.093627896,-0.008214947,0.034297121,-0.511402245,0.028554621,-0.453935731,-0.178823189,0.146220899,-0.080475215,-0.040922203,0.022649209
101,-3.531575071,-1.705069215,0.292829275,0.009713154,0.078528074,0.038828784,0.030730415,-0.510268286,0.016591171,-0.469154567,-0.148856983,0.142435758,-0.067400096,-0.077872754,0.018870319
102,-3.015007855,-1.737737031,0.33034038,-0.029699586,0.085998962,0.037767516,0.053050447,-0.512547643,0.04949884,-0.454997398,-0.156037223,0.136803773,-0.072024305,-0.032291257,0.013914659
103,-2.466422421,-1.732677165,0.337934158,-0.012235868,0.063828237,0.018433074,0.029710401,-0.5046001,0.032022528,-0.466584396,-0.138892239,0.154404194,-0.074057565,-0.039253023,0.030431736
104,-2.011938102,-1.73693552,0.284581385,-0.061379423,0.089614605,0.066187287,0.060668184,-0.487034298,0.040861628,-0.466229211,-0.161679637,0.173321746,-0.085485425,-0.064656808,0.023134823
105,-1.479492985,-1.744140346,0.313922795,-0.029962763,0.103437883,-0.0091418,0.021431117,-0.529663101,0.052198478,-0.450704716,-0.113905534,0.149503107,-0.041332502,-0.068576123,0.020418722
106,-0.979066358,-1.722594794,0.310809326,-0.030081372,0.100663166,0.04085884,0.053791286,-0.47659165,0.003296201,-0.465238445,-0.1385556,0.123905603,-0.068026973,-0.046379573,0.038217204
107,-0.427632153,-1.738083633,0.350410541,-0.0372752,0.101999637,0.041227508,0.029204575,-0.502177264,0.01231568,-0.446423482,-0.154896071,0.165163723,-0.060207482,-0.040833434,0.023048086
108,0.055426885,-1.787850985,0.343223781,-0.022708086,0.077293296,-0.008665925,0.043344001,-0.53009552,0.047345221,-0.452149857,-0.137281108,0.13236696,-0.1030261,-0.054709828,0.041141071
109,0.564898533,-1.792904906,0.314500376,-0.049616624,0.107846256,0.023383069,0.028171414,-0.503831292,0.041328181,-0.485273822,-0.174067401,0.137611904,-0.097789186,-0.042739367,0.028622856
110,1.104995015,-1.79839094,0.315929132,-0.054361237,0.103005211,-5.64E-05,0.050246427,-0.494976777,0.008703729,-0.468788649,-0.147729146,0.139057408,-0.070424706,-0.062006404,0.005244625
111,1.682749364,-1.727649022,0.361581819,-0.044815284,0.068914705,-0.000513169,-0.005392922,-0.50664738,0.06119279,-0.456536487,-0.180728548,0.161901496,-0.074875887,-0.034378592,0.018767925
112,2.19738728,-1.792997703,0.365352484,-0.050565628,0.068864876,-0.00051291,0.033404475,-0.503832557,0.028856342,-0.470074379,-0.175050297,0.146725244,-0.068283519,-0.040941293,0.014123723
113,2.75234859,-1.827843313,0.34357775,0.01020965,0.087424621,0.008874394,0.031544411,-0.507014227,0.037063656,-0.473662019,-0.139525574,0.144801174,-0.045488133,-0.044011746,0.032009958
114,3.301258886,-1.786242427,0.3381067,-0.028592579,0.109497098,0.008515451,0.028631723,-0.497498254,0.016711004,-0.463364782,-0.147029701,0.130182513,-0.065409095,-0.058733551,0.031414606
115,3.851182109,-1.824091447,0.356176897,-0.007519909,0.082818573,0.013591602,0.001181762,-0.502692558,-0.002554088,-0.486265787,-0.148719543,0.157965465,-0.051342033,-0.058326873,0.067401354
116,4.430670271,-1.821693707,0.373611857,0.001085178,0.106342936,0.002207551,0.031867429,-0.513239744,0.00389713,-0.434080639,-0.176444381,0.144508881,-0.087811223,-0.034462191,0.016648687
117,4.948719793,-1.83330666,0.352690652,-0.02903029,0.106260814,0.011719911,0.006366881,-0.521699424,0.0136983,-0.447989032,-0.148346572,0.139742028,-0.079694357,-0.046057638,0.030064792
